timburks nu
sstephenson prototype
rails rails
mootools mootools-core
dpp liftweb
pieter gitx
pokeb asi-http-request
git git
sintaxi phonegap
cappuccino cappuccino
russel groovy
rhomobile rhodes
webpy webpy
sorccu cufon
mirrors perl
django django
technomancy emacs-starter-kit
lloyd yajl
djmitche buildbot
sinatra sinatra
mongodb mongo
darwin visor
rentzsch clicktoflash
rakudo rakudo
facebook three20
klacke yaws
petdance ack
antirez redis
apache solr
dbloete ioctocat
pinax pinax
davidswelt aquamacs-emacs
jquery jquery
memcached memcached
apache httpd
mxcl homebrew
apache couchdb
apache cassandra
voldemort voldemort
richhickey clojure
rupa z
probablycorey wax
greasemonkey greasemonkey
gimite web-socket-js
v8 v8
wayneeseguin rvm
documentcloud cloud-crowd
facebook tornado
apenwarr bup
documentcloud underscore
markhuot projectplus
erlang otp
ice799 memprof
jashkenas coffee-script
tobeytailor gordon
facebook hiphop-php
symfony symfony
phpbb phpbb
tinymce tinymce
processone ejabberd
ruby ruby
alandipert step
postgres postgres
robhudson django-debug-toolbar
